nan-TW-Latn-pehoeji,nan-TW-Latn-tailo,zh-Hant-TW,en-US
boeh thò͘ boeh thò͘ | ài thò͘ ài thò͘,bueh thòo bueh thòo | ài thòo ài thòo,想吐,to feel nausea.
thoa,thua,拖,to pull (as a wagon)
Tâi-oân bô lūn sím-mih só͘-chai to ū thoaⁿ-hoàn.,,身體越鍜練越強壯,"The more you train the body, the stronger it gets."
thoa chhia-á,thua tshia-á,車伕,pedicab driver
thóaⁿ-chháu,thuánn-tsháu,除雜草 | 用鋤頭,to weed with a hoe
thòaⁿ,thuànn,炭,coal
thô͘-thòaⁿ,thôo-thuànn,煤,coal
hóe-thòaⁿ,hué-thuànn,木炭,charcoal
liān thòaⁿ,liān thuànn,煉炭,a round cylinder of coal
thoaⁿ-hoán,thuann-huán,攤販,a pedlar's stand | a street stall | a small stand where pedlars sell things
"Hùi-pīⁿ ē thoân-jiám, khah chù-ì lè.",,肺病會傳染，小心一點,"Tuberculosis is contagions, be careful."
thoah-á,thuah-á,抽屜,a drawer
tī thoah-á-lāi,tī thuah-á-lāi,在抽屜裡面,in the drawer
thoân-kàu,thuân-kàu,傳教,to evangelize | to do mission work
thoân-kàu kang-chok,thuân-kàu kang-tsok,傳教工作,mission work
thoân-kàu sian-siⁿ,thuân-kàu sian-sinn,傳教先生,catechist
thoân-tō ha̍k-hāu,thuân-tō ha̍k-hāu,傳到學校,catechist school
thoân-tō ha̍k-seng,thuân-tō ha̍k-sing,傳到學生,catechist students
thoàn-liān,thuàn-liān,鍛鍊,to cultivate | training
Thoân-soat kap le̍k-sú bô kāng-khoán.,,傳說和歷史不同,A legend is not the same as history.
thoân-jiám,thuân-jiám,傳染,to be infectious | to infect | contagious
Tâi-oân hō͘ Ji̍t-pún thóng-tī gō͘ cha̍p gōa nî.,,台灣給日本統治五十多年,Formosa was ruled over by the Japanese for over fifty years.
thoân-jiám pīⁿ,thuân-jiám pīnn,傳染病,an infectious or contagious disease
thoân-soat,thuân-suat,傳說,a tradition | a legend
Thoân-soat kap le̍k-sú bô kāng-khoán.,,傳說和歷史不同,A legend is not the same as history.
thok-jî-só͘,thok-jî-sóo,托兒所,a creche | a public nursery
thong-ha̍k-sneg,thong-ha̍k-sneg,通學生,day pupils
thóng-tī,thóng-tī,統治,to rule over (country or people)
Tâi-oân hō͘ Ji̍t-pún thóng-tī gō͘ cha̍p gōa nî.,,台灣給日本統治五十多年,Formosa was ruled over by the Japanese for over fifty years.
thóng-it,thóng-it,統一,to unify | to standardize to rule
Pak-hân kap Lâm-hân bē-tàng thóng-it.,,北韓和南韓不能統一,North and South Korea cannot be unified.
thong-ti,thong-ti,通知,to inform
"I tang-sî boeh khì Bí-kok, chhiáⁿ lí kā góa thong-ti lè.",,他何時要到美國去，請你給我通知一下,Please inform me when he is going to America.
thong-kòe,thong-kuè,通過,to pass an exam
Lí khó-chhì ū thong-kòe bô?,,你考試通過了嗎？,Did you pass your exam?
thong-e̍k,thong-i̍k,通譯,interpret | interpretation
"Góa siūⁿ boeh kap hit ê lâng kóng kúi kù á ōe, pài-thok lí kā góa (chò) thong-e̍k hó bô?",,我想要跟那個人講幾句話，請你給我（做）翻譯好不好？,"I should like to speak a few words with that lad, will you interpret for me?"
thong-sìn,thong-sìn,通信,correspondence | to correspond with
Hit ê pêng-iú góa chin kú m̄ bat kap i thong-sìn.,,那個朋友我很久沒有跟他通信,I have not corresponded with that friend for a long time.
thong-siong,thong-siong,通商,trade | commercial relations
Bí-kok bô kap Tiong-kiōng (or Tiong-kok kiōng-sán-tóng) thong-siong.,,美國沒有和中共通商,The United States does not trade with Communist China.
thong-kan,thong-kan,通姦,adultery | to commit adultery
thòng-hòe,thòng-huè,痛悔,to be contrite | contrition | to regret
thòng-hòe-keng,thòng-huè-king,痛悔經,the act of contrition
thòng-khó͘,thòng-khóo,痛苦,anguish | passion | musery | suffering
Chèng-hú tio̍h-ài chai-iáⁿ peh-sìⁿ ê thòng-khó͘.,,政府須了解老百姓的痛苦,The government must know the misery of the ordinary people.
thòng-hīn,thòng-hīn,痛恨,deeply regret
Góa teh thòng-hīn góa ê kòe-sit.,,我痛恨我的過失,I deeply regret my faults.
thuh,thuh,剷,to shovel up | to pick
"Ke-nn̄g nā chian hó, thuh chi̍t lia̍p hō͘ góa chia̍h.",,雞蛋若煎好，扒一個來給我吃,"When the eggs are fried, take one out with the spatula and give it to me to eat."
thuh chhùi-khí,thuh tshuì-khí,以牙籤除牙縫內之殘渣,to pick the teeth
Ēng chhùi-khí-thok thuh chhùi-khí.,,用牙籤剷牙齒,To pick the teeth with a toothpick.
thui | lâu-thui,thui | lâu-thui,梯 | 樓梯,a ladder | stairs
thúi | kha-thúi,thuí | kha-thuí,腿,the thigh
Gín-ná ài chia̍h ke-thúi.,,小孩子喜歡吃雞腿,Kids like to eat chicken legs.
ti thùi,ti thuì,豬腿,a ham
hóe-thúi,hué-thuí,火腿,a ham
thûi-á | kòng-thûi-á,thuî-á | kòng-thuî-á,槌,a hammer
thun,thun,吞,to swallow
thun--lo̍h-khì,thun--lo̍h-khì,吞下去,to swallow down
thun bē lo̍h-khì,thun bē lo̍h-khì,吞不下去,cannot swallow
thūn,thūn,填 | 埋,to fill (a blank or hole)
Chit ê hî-tî boeh thūn-khí-lâi khí chhù.,,這個魚池要把它填起來築房屋,This fish pond will be filled in to build a house.
thun-lún | jím-nāi,thun-lún | jím-nāi,忍耐,to endure
Sió-khóa tāi-chì tio̍h thun-lún chiah hó.,,些小的事情要能忍耐才好,"If it is a trivial affair, you must endure it (have patience)."
tī,tī,在,to be in or at | to be present
tī sèng-tn̂g lāi,tī sìng-tn̂g lāi,在聖堂內,in (inside) the church
tī snèg-tn̂g gōa,tī snèg-tn̂g guā,在聖堂外,outside the church
tī sèng-tn̂g piⁿ | tī sèng-tn̂g ê piⁿ-á,tī sìng-tn̂g pinn | tī sìng-tn̂g ê pinn-á,在聖堂邊,at the side of the church
tī sèng-tn̂g āu,tī sìng-tn̂g āu,在聖堂後面,behind the church
tī snèg-tn̂g chêng,tī snèg-tn̂g tsîng,在聖堂前面,in front of the church
tī sèng-tn̂g ê chhù-téng,tī sìng-tn̂g ê tshù-tíng,在聖堂的屋頂上,on the roof of the church
tī sèng-tm̂g kha,tī sìng-tm̂g kha,在聖堂的屋腳下,under the church
tī chia,tī tsia,在這裡,here | in this place
tī hia,tī hia,在那裡,there | in that place
ū tī--leh,ū tī--leh,在家裡,present | at home
bô tī--leh,bô tī--leh,不再,not present | not in | not at home
tī toh-kha,tī toh-kha,在桌下,undder the table
tī toh-téng,tī toh-tíng,在桌上,on the table
tī thô͘-kha,tī thôo-kha,在地上,on the ground | on the floor
tī-sî | tang-sî,tī-sî | tang-sî,何時,When?
ti,ti,豬,a pig
ti-bah,ti-bah,豬肉,pork
ti-koaⁿ,ti-kuann,豬肝,liver
ti-iû,ti-iû,豬油,lard
tī,tī,筷子 | 箸,chopsticks
ēng tī chia̍h pn̄g,īng tī tsia̍h pn̄g,用筷子吃飯,to eat with chopsticks
ti-tu,ti-tu,蜘蛛,a spider
ti-tu-si | ti-tu-be̍h-bāng,ti-tu-si | ti-tu-be̍h-bāng,蜘蛛網,cobwebs
"Ti-tu-si chin chē, tio̍h-ài keⁿ (kiⁿ)-khì-lâi.",,蜘蛛網很多，要把它弄清（拆除）,"There are many spider webs here, they must be cleared away."
tī,tī,痔,piles | hemorrhoids
"Góa tī teh thiàⁿ, bē kiâⁿ lō͘.",,我的痔在通，不能走,"My piles are paining me, I can’t walk."
tì,tì,戴,to wear (a cap or hat)
tī-thâu,tī-thâu,鋤頭,to wear a cap or a hat
Gia̍h chi̍t ki tî-thâu lâi ku̍t hoe-hn̂g.,,拿一把鋤頭來掘花園,Take a hoe and dig up the garden.
tî,tî,池,a hoe (a farming tool)
hî-tî,hî-tî,魚池,a fish pind
khui hî-tî,khui hî-tî,挖魚池,to make a pond
ku̍t hî-tî,ku̍t hî-tî,掘魚池,to dig a pond
chheng hî-tî,tshing hî-tî,清魚池,to clean out a pond
tiān-tî,tiān-tî,電池,batteries (either wet or dry)
tî-liáu...í gōa...,tî-liáu...í guā...,除了...以外,besides | outside of
"Tī chit keng, tî-liáu Chú-kàu kap Sîn-hū í-gōa, iáu ū chin chē kong-bū-oân.",,在這裏除了主教和神父以外，還有很多公務員,Besides the Bishop and the priests there were also many officials in this room.
tì-sek,tì-sik,知識,knowledge
"Lí tio̍h tha̍k-chheh, tì-sek chiah ē hoat-ta̍t.",,你要讀書知識才會發達,You must study if you are to increase your knowledge.
tī-liâu,tī-liâu,治療,medical treatment (N.V.)
Chit ê pīⁿ (chit khí chhùi-khí) ài tī-liâu nn̄g lé-pài chiah ē hó.,,這種病（這一顆牙齒）須治療兩星期才會好,This disease (this tooth) must be treated for two weeks before it will be cured.
tiⁿ,tinn,甜,sweet
tīⁿ,tīnn,滿,to be full
chi̍t poe tīⁿ tīⁿ,tsi̍t pue tīnn tīnn,一杯滿滿地,a cupful
tîⁿ,tînn,纏 | 捲,"to wind | roll (string, thread, rope)"
Chiah ê soh-á tîⁿ-tîⁿ siu-khí-lâi khǹg.,,把這些繩捲起來以便收放,Wind up this cord and put it away.
"Góa chin bô-êng, lí m̄-thang kap góa ko-ko-tîⁿ.",,我很忙，你不要和我嚕哩嚕囌,"I am very busy, don’t pester me."
ko-ko-tîⁿ,ko-ko-tînn,糾纏,to pester | to annoy
tìⁿ,tìnn,假裝,to pertend (usually combined with negative)
tìⁿ m̄ chai,tìnn m̄ tsai,假裝不知道,to pertend not to know
tìⁿ m̄ bat,tìnn m̄ bat,假裝不認識,to pretend not to recognize
tìⁿ bô thiaⁿ--kìⁿ,tìnn bô thiann--kìnn,假裝沒有聽到,to pretend not to hear
tì khong | tìⁿ khong tìⁿ gōng,tì khong | tìnn khong tìnn gōng,裝出怪模怪樣,to droll | to jest | to act as if one were crazy
I siông-siông ài tìⁿ khong tìⁿ-gōng hō͘ lâng chhiò.,,他常常喜歡裝出怪魔怪樣使人發笑,He always acts as if he is crazy in order to make people laugh.
tiāⁿ-tiāⁿ,tiānn-tiānn,常常,always
"Tiāⁿ-tiāⁿ chia̍h bah, chia̍h-liáu mā ē siān.",,常常吃肉，吃多了就會厭,"If one is always eating meat, he will get tired of it."
tiāⁿ-tio̍h,tiānn-tio̍h,決定,to decide | to determine
"Iáu bōe tiāⁿ-tio̍h ê tāi-chì, m̄-thang lām-sú kóng.",,還沒決定的事情，不可亂講,Don’t blab about things that are not definitely settled.
tiāⁿ-kim,tiānn-kim,訂約金,payment in advance
"Lí nā ū tiāⁿ-tio̍h boeh kā góa bé, tāi-seng the̍h chi̍t su̍t-lá tiāⁿ-kim hō͘ góa.",,你若已決定要向我買，先拿一些約金給我,"If you are definite that you want to buy from me, then give me a little money in advance."
tiàⁿ,tiànn,鍋,a pan | pot (for cooking)
tiâⁿ,tiânn,庭,a yard | a courtyard
"Thâu-chêng tiâⁿ, chèng chi̍t kóa hoe khah hó khòaⁿ.",,前庭種些花比較好看,Plant some flowers in the front yard and it will look nicer.
tia̍h,tia̍h,買 | 穀類,to buy any kind of grain
tia̍h-bí,tia̍h-bí,買米,to buy rice
tia̍h thô͘-tāu,tia̍h thôo-tāu,買花生米,to buy peanuts
tia̍h be̍h-á,tia̍h be̍h-á,買麥,to buy wheat
tiám,tiám,點,a dot | a spot | an hour | to light
chi̍t tiám-á-kiáⁿ,tsi̍t tiám-á-kiánn,一點兒,just a teeny bit
Chit jī “O” ū chi̍t tiám bô?,,這個O字有一點嗎？,Has this word “O” a dot on it?
chi̍t tiám-cheng,tsi̍t tiám-tsing,一點鐘 | 一節,an hour | a period of class | a class | one o'clock
tiám pòaⁿ,tiám puànn,一點半,an hour and a half 1:30 o'clock
kúi tiám-cheng,kuí tiám-tsing,幾點鐘,What time? How many hours?
saⁿ tiám-cheng,sann tiám-tsing,三點鐘,three o'clock | three hours
saⁿ tiám gōa,sann tiám guā,三點多鐘,sometime after three o'clock
la̍k tiám sì cha̍p gō͘ hun,la̍k tiám sì tsa̍p gōo hun,六點四十五分,six forty five
tē kúi tiám-cheng,tē kuí tiám-tsing,第幾堂 | 第幾節,What class? What period?
nn̄g tiám cheng kú,nn̄g tiám tsing kú,兩點鐘,for two hours
thâu tiám-cheng,thâu tiám-tsing,第一節 | 頭一節,the first class
chòe āu hit tiám-cheng,tsuè āu hit tiám-tsing,最後那一節,the last class
tiám la̍h-chek,tiám la̍h-tsik,點蠟燭,to light a candle
tiám tiān-hóe,tiám tiān-hué,點電燈,to turn on a light
tiám-teng,tiám-ting,點燈,to light a lamp
tiàm,tiàm,住,to live in | to stay in
lí tiàm tī toh-ūi,lí tiàm tī toh-uī,你住在哪裡？,Where do you live?
tiàm,tiàm,店,a shop
chheh-tiàm,tsheh-tiàm,書店,a bookstore
thì thâu tiàm,thì thâu tiàm,理髮店,a barber shop
cha̍p-hòe-tiàm,tsa̍p-huè-tiàm,雜貨店,a general store | a haberdashery
piáⁿ-tiàm,piánn-tiàm,餅店,a baker shop
pn̄g tiàm | si̍t-tn̂g,pn̄g tiàm | si̍t-tn̂g,飯店,a restaurant
chhài-tiàm,tshài-tiàm,公共食堂 | 酒家,a restaurant (very often a place of ill-repute)
tê-tiàm-á,tê-tiàm-á,茶室,a tea house (almost always a brothel)
pah-hòe-tiàm,pah-huè-tiàm,百貨店,a department store
tiàm-thâu,tiàm-thâu,店,a shop
tiàm oân,tiàm uân,店員,a clerk
tiàm miâ,tiàm miâ,店名,the name of the store
tiám miâ,tiám miâ,點名,to call the roll
Sèng-Bó-Kun khai (khui) hōe ê sî tio̍h-ài tiám miâ.,,聖母軍開會的時候要點名,At a Legion a Mary meeting there must be a roll call.
tiám-sim,tiám-sim,點心,a snack | a morsel between meals
chia̍h tiám-sim,tsia̍h tiám-sim,吃點心,to take refreshments
tiām,tiām,靜,quiet
Goán chia àm-sî chin tiām.,,我們這裏晚上很清靜,It is very quiet here at our place at night.
Tiām-tiām (or khah tiām lè)!,,安靜一點！,Quiet!
tiām--khì,tiām--khì,停了,(a machine) stopprd (stops) | to stop talking (or crying)
Chit ê sî-pió chang-àm (or tiāⁿ-tiāⁿ ē) tiām-khì.,,這個錶昨天晚上停了(常常會停),This watch stopped last night (or always stops).
"Sian-siⁿ chi̍t ē lâi, ha̍k-seng lóng tiām-khì.",,老師一來，學生都安靜下來,"As soon as the teacher came, the students all stopped talking."
tiān-thô͘,tiān-thôo,電土,carbide | acetylene
Bô tiān-hóe ê só͘-chai lóng tiám tiān-thô͘ á-sī hoan-ná-iû (or chúi-iû).,,沒有電燈的地方都點（燃）電土或者煤油,"In places where there is no electricity, they burn carbide or kerosene."
tiān | tiān-tō͘,tiān | tiān-tōo,電 | 電鍍,to electroplate
"Chit ê pió m̄ sī kim ê, sī tiān kim ê.",,這個錶不是金的，是鍍金的,"This watch is not gold, it is plated with gold."
tiān--tio̍h,tiān--tio̍h,感電 | 受電擊,to feel an electric shock
"Lí nā bong tiān-sòaⁿ, ē tiān-tio̍h.",,你若觸電線，你會受電擊,"If you touch an electric wire, you will get a shock."
tiān-iáⁿ,tiān-iánn,電影,a movie
khì khòaⁿ tiān-iáⁿ,khì khuànn tiān-iánn,去看電影,to go to a movie
tiān-khì,tiān-khì,電氣,electricity
tiān-pò,tiān-pò,電報,a telegram
phah tiān-pò | kòng tiān-pò,phah tiān-pò | kòng tiān-pò,打電報,to send a telegram
tiān-pò-chîⁿ,tiān-pò-tsînn,電報費,cost of sending a telegram
tiān-sìn-kio̍k,tiān-sìn-kio̍k,電信局,telegram coffice
tiān-sìn-thiâu | tiān-ōe-thiâu,tiān-sìn-thiâu | tiān-uē-thiâu,電信杆,telegraph poles
tiān-teng,tiān-ting,電燈,electric lights
tiān-hóe,tiān-hué,電燈,electric lights
tiān-hòe-thiāu | tiān-teng-thiāu,tiān-huè-thiāu | tiān-ting-thiāu,電燈杆,an electric lamp post
khan tiān-hóe,khan tiān-hué,裝電線,to wire (a room or a house)
khan tiān-hóe sai-hū,khan tiān-hué sai-hū,電氣工匠,an electrician
tiān-pió | pōng-pió,tiān-pió | pōng-pió,電錶,an electrician meter
tiān-ōe,tiān-uē,電話,telephone
phah tiān-ōe | kòng tiān-ōe | khà tiān-ōe,phah tiān-uē | kòng tiān-uē | khà tiān-uē,打電話,to telephone
tiān-ōe-hoan | tiān-ōe-hō,tiān-uē-huan | tiān-uē-hō,電話號碼,telephone number
tiān-sòaⁿ,tiān-suànn,電線,eletric wire
tiān-kiû,tiān-kiû,電燈泡,electric bulb
tiān-lêng,tiān-lîng,電鈴,an electric bell
ji̍h tiān-lêng,ji̍h tiān-lîng,按電鈴,to press a door bell
tiān-sìⁿ,tiān-sìnn,電扇,an electric fan
tiān-tî,tiān-tî,電池,a battery | wet or dry
hoat-tiān,huat-tiān,發電,producing eletricity | giving off a spark
hoat-tiān-ki,huat-tiān-ki,發電機,a generator
pī-lûi-chiam,pī-luî-tsiam,避雷針,a lightning rod | (avoiding thunder needle)
thau-tiān,thau-tiān,偷電,the make stealthy use of electricity
tiān liáu--khì | bô tiān,tiān liáu--khì | bô tiān,沒有電,the battery is exhausted
tiān bô lâi,tiān bô lâi,電沒有通,the electricity is not on
sit tiān,sit tiān,停電,the electricity has gone off
lāu tiān,lāu tiān,漏電,there is a short circult
tiān-hóe ê chhah-thâu,tiān-hué ê tshah-thâu,電插,an electric or socket
"Tī tha̍k-chheh-lâng ê piah kha ū chi̍t ê tiān-hóe ê chhah-thâu, the̍h chit phā tiān-hóe khì chhah hō͘ to̍h.",,在書房的壁下面有一個電燈的插頭，拿這個電燈去把它點亮,"Take this lamp to the study hall, at the bottom of the wall there is a floor plug, plug this lamp in and light it."
tiān-hóe-tàu | tiān-hóe-tà,tiān-hué-tàu | tiān-hué-tà,電燈罩,a lamp shade
tiān-sī,tiān-sī,電視,television
khòaⁿ tiān-sī,khuànn tiān-sī,看電視,to watch television
tián-lám-hōe,tián-lám-huē,展覽會,an exhibition
"Tâi-pak ū bí-su̍t tián-lám-hōe, lí boeh khì khòaⁿ bô?",,台北有美術展覽會，你要去看嗎？,"Taipei has an exhibition of art, are you going to see it?"
tián,tián,誇示,to flaunt | be proud of | to brag about
I tiāⁿ-tiāⁿ tián in lāu-pē teh chò chhī-tiúⁿ.,,他常常誇示他的父親當市長,He is always bragging about the fact that his father is the mayor.
