en_GB,es,ja,zh_CN,zh_TW,en_US
Welcome to gnome-pilot !,,GNOME パイロットにようこそ ！,欢迎使用 gnome-pilot ！,觀迎使用 gnome-pilot !,Welcome to gnome-pilot !
Welcome to the GNU Image Manipulation Program !,,GNU 画像加工プログラムへようこそ !,欢迎使用 GIMP ！,歡迎使用 GIMP ！,Welcome to the GNU Image Manipulation Program !
Welkom,,ウェルコム,,威爾康,Welkom
Wellington,,ウェリントン,惠灵顿,威靈頓,Wellington
Wenatchee,,ウェナチー,韦纳奇,溫納契,Wenatchee
Wenchi,,,,溫奇,Wenchi
Wewak,,ウェワク,,維瓦克,Wewak
Weyburn,,ウェーバーン,韦伯恩,威伯恩,Weyburn
Wha Ti,Whati,,维堤,,Wha Ti
Wharton,,ホウォートン,沃顿,華爾頓,Wharton
What,Qué,,内容,,What
What number player are you ?,,,您的玩家编号 ？,,What number player are you ?
What you obtain,Qué obtiene,得られるもの,,,What you obtain
What you write,,書いた成果,,,What you write
Wheat,Trigo,,打击,,Wheat
Wheaton,,ホイートン,惠顿,惠頓,Wheaton
Wheel,,三角形,,色環,Wheel
Wheel Turn Left,,ホイールを左にターン,轮向向左转,由左至右旋轉,Wheel Turn Left
Wheel Turn Right,,ホイールを右にターン,轮向向右转,由左至右旋轉,Wheel Turn Right
Wheeler,,ホイーラー,,車輪峰,Wheeler
Wheeling,,ウィーリング,惠灵,惠凌,Wheeling
When,,,时间,,When
When You Start Archive Manager,,書庫マネージャ を起動すると,启动 归档管理器 时,當您啟動 壓縮檔管理員,When You Start Archive Manager
When You Start Blackjack,Blackjack,,,,When You Start Blackjack
When You Start CD Player,,,运行 CD 播放器,,When You Start CD Player
When You Start Character Map,,,打开字符映射表,,When You Start Character Map
When You Start Evince Document Viewer,Evince,Evince ドキュメントビューアのメインウィンドウ,当您启动 Evince 文档查看器时,當您啟動了 Evince 文件檢視器,When You Start Evince Document Viewer
When You Start GNOME Volume Control,,,当您启动了 GNOME 音量控制,,When You Start GNOME Volume Control
When You Start Glom,Al iniciar Glom,,,,When You Start Glom
When You Start Totem Movie Player,,Totem 動画プレイヤー について,当您启动 Totem 电影播放器,關於 Totem 影片播放器,When You Start Totem Movie Player
When convenient :,,,在合适的时候 ：,,When convenient :
When creating,Al crear,作成当初,,,When creating
Whenuapai,,,,威諾湃,Whenuapai
Where :,,,位置 ：,,Where :
Whether to clip or not,,,是否裁剪,,Whether to clip or not
Whether to give the colour an alpha value,,色にアルファ値を設定するかどうか,是否要对颜色给出 alpha 值,是否顏色包含有透明度的值,Whether to give the color an alpha value
Whether to highlight the current line,,現在の行を強調表示するかどうかを設定します,是否加亮显示当前行,是否加強顯示游標所在的一行,Whether to highlight the current line
Whether to preview the next block,,次のブロックのプレビューを表示する,是否预览下一个方块,,Whether to preview the next block
Whether to preview the next block .,,次のブロックのプレビューを表示するかどうかの設定です 。,是否预览下一个方块 。,,Whether to preview the next block .
Whether to print a footer in each page,,ページ毎にフッタを印刷するかどうかを設定します,是否打印每页页脚,是否每頁都印出頁尾,Whether to print a footer in each page
Whether to wrap the licence text .,,ライセンスの条文を折り返すかどうか 。,许可协议是否换行 。,授權條款是否換行 。,Whether to wrap the license text .
Which IRC network ?,,どの IRC ネットワークですか ?,哪个 IRC 网络 ?,哪個 IRC 網路 ？,Which IRC network ?
Whirl,Remolino,回転,,,Whirl
Whirl angle,,渦の方向,,,Whirl angle
Whitaker,,ウィタカー,,威塔克,Whitaker
White,Blanco,白色,白色,白色,White
White Balance,,ホワイトバランス,,白平衡,White Balance
White Balance example,,ホワイトバランス の例,,,White Balance example
White Rock,,ホワイト ・ ロック,白石,白石,White Rock
White Space,,空白文字,,,White Space
White Sulphur,,ホワイトサルファー,,白硫,White sulfur
White balance,,ホワイトバランス,白平衡,,White balance
White balance :,,,白平衡 :,,White balance :
White level,,白レベル,,,White level
White on black,,黒地に白文字,白字黑底,黑底白字,White on black
White only,Sólo blanco,白色のみ,仅白色,全白,White only
White onlycheck-type,Sólo blancocheck-type,,仅白色check-type,白色check-type,White onlycheck-type
White point,Punto blanco,白色点,白点,白點,White point
Whitecourt,,ホワイトコート,怀特考特,韋葛特,Whitecourt
Whiteman,,ホワイトマン,,懷特曼,Whiteman
Whiteman Airport,"Whiteman , aeropuerto",ホワイトマン空港,,懷特曼機場,Whiteman Airport
Whiteriver,,ホワイトリバー,,白河,Whiteriver
Whiteville,,ホワイトビル,,,Whiteville
Whittier,,ホイッティア,惠蒂尔,惠提爾,Whittier
Wi-Fi,Inalámbrica,,,,Wi-Fi
Wi-Fi Security,,Wi-Fi セキュリティ,Wi-Fi 安全性,Wi-Fi 安全性,Wi-Fi Security
Wiarton,,ワイアートン,威亚顿,安河市,Wiarton
Wichita,,ウィチタ,威奇托市,威契塔,Wichita
Wichita-Jabara,,ウィチタ ・ ヤベラ,奇托 -Jabara,威契塔-Jabara,Wichita-Jabara
Wichita-McConnell AFB,,ウィチタ ・ マッコーネル空軍基地,威奇托 -McConnell 空军基地,威契塔-康奈爾空軍基地,Wichita-McConnell AFB
Wick,,,威克,威克,Wick
Wiki,,,维基,,Wiki
Willapa Harbor,,ウィラパ岬,,威拉帕港,Willapa Harbor
Williamtown,,,,威廉鎮,Williamtown
Willimantic,,ウィリマンチク,,威廉曼提克,Willimantic
Willmar,,,,威爾馬,Willmar
Willoughby,,ウィロビー,威洛比,威洛比,Willoughby
Willow,,ウィロー,威洛,威羅,Willow
Willow Creek,,ウィロークリーク,,柳溪,Willow Creek
Willow Grove,,ウィロー Grove,,柳谷,Willow Grove
Willow Run Airport,"Willow Run , aeropuerto",,,,Willow Run Airport
Wilmette,,ウィルメット,,威爾美特,Wilmette
Wilmington,,ウィルミントン,威尔明顿,威明頓,Wilmington
Wilmington NEXRAD,,,,威明頓氣象雷達,Wilmington NEXRAD
WinAce archive,,WinAce書庫,WinAce 归档格式,WinAce 壓縮檔,WinAce archive
WinHelp help file,,WinHelp ヘルプファイル,WinHelp 帮助文件,WinHelp 說明檔,WinHelp help file
Wink,,ウィンク,温克,文克,Wink
Winnemucca,,ウィネマッカ,温尼木卡,溫尼木卡,Winnemucca
Winner,,,胜者,,Winner
Winning entry by Davit Kurniawan,,,Davit Kurniawan 的得奖作品,,Winning entry by Davit Kurniawan
Winning the game,Ganar el juego,,,,Winning the game
Winnipeg,,ウィニペグ,温尼伯,溫尼伯,Winnipeg
Winnipeg International Airportman .,"Winnipeg , aeropuerto internacional",,,,Winnipeg International Airportman .
Winona,,ウィノーナ,威诺纳,文諾納,Winona
Winter Harbour,,ウィンター ・ ハーバー,冬季港,維多利亞港,Winter harbor
Winter Haven,,ウィンターヘイブン,温特墨文,文特哈芬,Winter Haven
Winter Park,,ウィンター ・ パーク,冬季公园,冬季公園市,Winter Park
Winterville,,ウィンタービル,温特维尔,窩特維,Winterville
Wipe,Limpiar,,,,Wipe
Witbank,,ウィトバンク,,溫班克,Witbank
With text,Con texto,文字入り,,,With text
Within a Dialog,,ダイアログ上では,,,Within a Dialog
Within a File Dialog,,ファイルダイアログ上では,,,Within a File Dialog
Without comment,,,没有评论,沒有備註,Without comment
Wittering,,ウィタリング,惠蒂灵,,Wittering
Wolf,Zorro,,,,Wolf
Wolf Point,,ウルフ岬,狼点,窩夫岬,Wolf Point
Woman,Mujer,,,,Woman
Wonju,,ウォンジュ,,原州,Wonju
Wontfix,,,不修复,,Wontfix
Woomera,,ウーメラ,,烏美拉,Woomera
WoomeraAigen,,,武麦拉Aigen,烏美拉Aigen,WoomeraAigen
Woong Cheon,,雄千,,熊川,Woong Cheon
Work,Trabajo,仕事,工作,工作,Work
"Work , Home , etc .",,,"工作 , 家庭 , 等 。",辦公 、 住家 ... 等 。,"Work , Home , etc ."
Work :,,,工作 ：,,Work :
Work Fax,,職場のメール,工作邮箱,工作電子郵件,Work Fax
Work Phone :,Tlf . trabajo :,会社の電話番号 :,工作电话 ：,公司電話 :,Work Phone :
Work Week,Semana laboral,,工作周,,Work Week
Work offline,,オフラインで起動する,离线工作,離線工作,Work offline
Work on copy,Trabajar en copia,コピーで作業する,,,Work on copy
Workflow,,,工作流程,工作流程,Workflow
Workflow without Color management,,色管理を欠いた作業工程,,,Workflow without Color management
Working,,作業する日,工作,工作,Working
Working Directory :,,,,工作目錄 ：,Working Directory :
Working Offline,,,离线工作,,Working Offline
Working time,,作業時間,工作时间,工作時間,Working time
Working time ...,,作業時間 ...,工作时间 ...,工作時間 ...,Working time ...
Worktop,,,柜台,料理檯面,Worktop
Worm,,いも虫,,,Worm
Worm colour,,,贪吃蛇颜色,,Worm color
Worthington,,ワージントン,沃辛顿,窩辛頓,Worthington
Wrangell,,ランゲル,兰格尔,朗格,Wrangell
Wrap,Envolver,回り込み,回绕,換行,Wrap
Wrap licence,,ライセンスのラッピング,许可协议,授權條款換行,Wrap license
Wrap the text,,,文本折行,文字換行,Wrap the text
Wrapping to Top,,,回到开始,回到開始,Wrapping to Top
Wrapping to bottom.wrap,,,滚到到底部 。 wrap,跳至底部 。 wrap,Wrapping to bottom.wrap
Wrapping to bottom.wrapwrapwrap,,,滚到到底部 。 wrapwrapwrap,跳至底部 。 wrapwrapwrap,Wrapping to bottom.wrapwrapwrap
Wrapping to top .,,,滚到到顶部 。,回到開始 。,Wrapping to top .
Writable,,書きこみ可能,可写,可寫入,Writable
Write,,記述,编写,寫入,Write
Write CD ...,Grabar CD,CDを作成 ...,写入光盘 ...,寫入 CD ...,Write CD ...
Write CD …,Grabar CD,CDを作成 ...,写入光盘 ...,寫入 CD …,Write CD …
Write Cache :,,書き込みキャッシュ :,写入缓存 ：,寫入快取 ：,Write Cache :
Write Error Rate,,,写错误率,寫入錯誤率,Write Error Rate
Write To CD,,CD へ書き込む,写入 CD,寫入光碟,Write To CD
Write a comment,,,留下评论,撰寫備註,Write a comment
Write a journal entry,,,写下每日历程,,Write a journal entry
Write to CD,,CD へ書き込む,写入 CD,寫入光碟,Write to CD
Write your own review,,あなた自身のレビュー書く,写您自己的评论,寫下您自己的評論,Write your own review
Writeable,,書き込み可否,,,Writeable
Writeable :,,書き込み可否 :,,,Writeable :
Writeable Memory,,,可写内存,可寫記憶體,Writeable Memory
Writing CD,,CD へ書き込み中です,写入 CD,燒錄 CD 中,Writing CD
Writing DVD,,DVD へ書き込み中です,写入 DVD,燒錄 DVD 中,Writing DVD
Writing Image to CD,,イメージを CD へ書き込み中,向 CD 写入映像,正在燒錄影像檔至 CD,Writing Image to CD
Writing Image to DVD,,イメージを DVD へコピー中,向 DVD 写入映像,正在燒錄影像檔至 DVD,Writing Image to DVD
Writing image to CD,,イメージを CD へ書き込み中,向 CD 写入映像,正在燒錄影像檔至 CD,Writing image to CD
Writing image to DVD,,イメージを DVD へ書き込み中,向 DVD 写入映像,正在燒錄影像檔至 DVD,Writing image to DVD
Written By,,著者,编写者,撰寫者,Written By
Written by,,作者,作者,程式編寫,Written by
Written by Changwoo Ryu,,,Changwoo Ryu 编写,,Written by Changwoo Ryu
Written by Matthew Wilcox,,,由 Matthew Wilcox 编写,,Written by Matthew Wilcox
Written by Nick Lamb,,,Nick Lamb 编写,,Written by Nick Lamb
Written by Vincent Povirk,,,Vincent Povirk 编写,,Written by Vincent Povirk
Written by W. Borgert,,,W. Borgert 编写,,Written by W. Borgert
Written by Zach Keene,,,Zach Keene 编写,,Written by Zach Keene
Wrocław,Wroc aw,,弗罗茨瓦夫,洛治勞,Wrocław
Wrong PIN,PIN incorrecto,,,,Wrong PIN
Wuhan,,武漢,武汉,武漢,Wuhan
Wuhan西安,Wuhan,武漢西安,武汉西安,武漢西安,Wuhan西安
Wujiaba International Airport,"Wujiaba , aeropuerto internacional",昆明巫家霸国際空港,巫家坝国际机场,巫家壩國際機場,Wujiaba International Airport
Wyoming,,ワイオミング,怀俄明州,懷俄明,Wyoming
Wyton,,ワイトン,,威頓,Wyton
Würzburg,Wuzburgo,,维尔茨堡,玉兹堡,Würzburg
X Alignment,Alineacio n X,X軸の整列,行对齐方式,X 對齊,X Alignment
X LargeSize,,ちょっと大きいSize,很大Size,特大Size,X LargeSize
X Move Left,,X を左に動かす,X 左移,向左移動,X Move Left
X Move Right,,X を右に動かす,X 右移,向右移動,X Move Right
X Server Memory,,,X 服务器内存,X 伺服器記憶體,X Server Memory
X SmallSize,Muy pequeñoSize,ちょっと小さいSize,很小Size,特小Size,X SmallSize
X Start Scale,,X軸の拡大縮小の起点,X 起始刻度,X 軸起始伸縮,X Start Scale
X align,X alineación,Ｘ方向の配置,水平排列,水平排列,X align
X label :,Etiqueta X :,Ｘ方向のラベル :,X 标签 ：,X 標籤 :,X label :
X maximum :,X máximo :,Ｘ方向の最大値 :,X 最大值 ：,X 最大值 :,X maximum :
X minimum :,X mínimo :,Ｘ方向の最小値 :,X 最小值 ：,X 最小值 :,X minimum :
X origin,Origen X,,X 轴原点,X 原點,X origin
X ratio :,,比率 X :,颜色函数,Y 比例 ：,X ratio :
X-Motif UIL table,,X-Motif UIL 表,X-Motif UIL 表,X-Motif UIL 表格,X-Motif UIL table
X-Ray,,X 線,X光,X 光,X-Ray
X.509 certificate,,X.509 証明書,X.509 证书,X.509 憑證,X.509 certificate
X11 Configuration,Configuración X11,X11 の設定,X11 配置,X11 設定,X11 Configuration
XANIM Information,,XANIM 情報,XANIM 信息 ：,XANIM 資訊,XANIM Information
XBM - X Bitmap,XBM : X Bitmap,XBM - X のビットマップ,XBM - X 位图,XBM - X 點陣圖,XBM - X Bitmap
XBM image,imagen XBM,XBM 画像,XBM 图像,XBM 影像,XBM image
XDCMP Support,Soporte XDMCP,,XDCMP 支持,,XDCMP Support
XDMCP Security,,,XDMCP 安全性,,XDMCP Security
XFS Linux Volume,Volumen Linux XFS,XFS Linux ボリューム,XFS Linux 卷,XFS Linux 檔案系統,XFS Linux Volume
XFig image,,XFig 画像,XFig 图像,XFig 影像,XFig image
XHTML page,página XHTML,XHTML ページ,XHTML 页面,XHTML 網頁,XHTML page
XIAFS Volume,Volumen XIAFS,XIAFS ボリューム,XIAFS 卷,XIAFS 檔案系統,XIAFS Volume
XMI file,archivo XMI,XMI ファイル,XMI 文件,XMI 檔,XMI file
XOR,,,异或,,XOR
XPM - X Pixmap,XPM : X Pixmap,XPM - X のピクセルマップ,XPM - X 像素图,XPM - X 像素對映圖,XPM - X Pixmap
XPM image,imagen XPM,XPM 画像,XPM 图像,XPM 影像,XPM image
XSL FO file,archivo XSL FO,XSL FO ファイル,XSL 格式化对象文件,XSL FO 檔,XSL FO file
XSpacing,,余白,X 间距,X間距,XSpacing
XTerm,Terminal,,,,XTerm
XX Large,Enorme,とても大きい,极大,超大,XX Large
XX SmallSize,DiminutoSize,とても小さいSize,极小Size,超小Size,XX SmallSize
XY,,散布図,,,XY
XY-Backplane,,,XY-背板,XY背板,XY-Backplane
XYColour,ColorXY,,XY颜色,XY顏色,XYColour
XYZ contour plotting engine,,等高線プロットエンジン,XYZ 等高线标绘引擎,XYZ輪廓繪製引擎,XYZ contour plotting engine
XYZContour,ContornoXYZ,等高線,XYZ等高线,XYZ輪廓,XYZContour
XYZSurface,SuperficieXYZ,等高線,XYZ表层,XYZ曲面,XYZSurface
XZ archive,,XZ アーカイブ,XZ 归档文件,XZ 封存檔,XZ archive
Xach-Effect,Efecto Xach,Xach 効果 ...,,,Xach-Effect
Xai Xai,,,,賽賽,Xai Xai
Xenix Volume,Volumen Xenix,Xenix ボリューム,Xenix 卷,Xenix 檔案系統,Xenix Volume
Xft Hint Style,,Xft ヒント ・ スタイル,Xft 微调样式,Xft Hint 樣式,Xft Hint Style
Xft Hinting,,Xft ヒンティング,Xft 微调,,Xft Hinting
Xi 'An,Xi'An,,西安,西安,Xi 'An
Xi 'an厦门,Xi'an,西安厦门,西安厦门,西安厦门,Xi 'an厦门
Xiamen,,シアメン,厦门,廈門,Xiamen
Xiamen郑州,Xiamen,シアメン郑州,厦门郑州,廈門郑州,Xiamen郑州
Xichang,,西昌,西昌,西昌,Xichang
Xining,,西寧,西宁,西寧,Xining
Xinjiang,,新疆,新疆,新疆,Xinjiang
"Y = -40 , bg color",,Y = -40 とし 、 背景色で塗りつぶす,,,"Y = -40 , bg color"
"Y = -40 , wrap","Y = -40 , volver al principio",Y = -40 とし 、 はみ出し部分を回り込ませる,,,"Y = -40 , wrap"
Y = R + G + B,Y=R+G+B,,,,Y = R + G + B
Y ACUTE,Y CON TILDE,,,,Y ACUTE
Y Alignment,Alineacio n Y,Y軸の整列,行对齐方式,Y 對齊,Y Alignment
Y Move Away,Alejar en Y,Y を向こうに動かす,Y 移开,淡出,Y Move Away
Y Move Back,,Y を後に動かす,Y 后移,,Y Move Back
Y Move Near,Acercar en Y,Y を手前に動かす,Y 移近,下載接近 ：,Y Move Near
Y Start Scale,,Y軸の拡大縮小の起点,Y 起始刻度,Y 軸起始伸縮,Y Start Scale
Y UMLAUT,Y CON DIÉRESIS,,,,Y UMLAUT
Y align,Alineación Y,Ｙ方向の配置,垂直排列,垂直排列,Y align
